#         Lambda    Transmission
          21440.0000            0.861624
          21445.0000            0.861516
          21450.0000            0.861444
          21455.0000            0.861099
          21460.0000            0.860915
          21465.0000            0.860512
          21470.0000            0.860507
          21475.0000            0.860065
          21480.0000            0.859510
          21485.0000            0.859050
          21490.0000            0.858814
          21495.0000            0.858502
          21500.0000            0.857863
          21505.0000            0.857242
          21510.0000            0.856743
          21515.0000            0.856047
          21520.0000            0.855657
          21525.0000            0.855246
          21530.0000            0.854378
          21535.0000            0.853702
          21540.0000            0.853295
          21545.0000            0.852487
          21550.0000            0.851698
          21555.0000            0.851146
          21560.0000            0.850603
          21565.0000            0.849867
          21570.0000            0.848845
          21575.0000            0.848565
          21580.0000            0.847594
          21585.0000            0.847089
          21590.0000            0.846425
          21595.0000            0.845850
          21600.0000            0.845013
          21605.0000            0.844713
          21610.0000            0.843979
          21615.0000            0.843705
          21620.0000            0.843209
          21625.0000            0.842831
          21630.0000            0.842846
          21635.0000            0.842465
          21640.0000            0.842142
          21645.0000            0.841805
          21650.0000            0.841941
          21655.0000            0.841907
          21660.0000            0.841910
          21665.0000            0.841849
          21670.0000            0.841843
          21675.0000            0.841973
          21680.0000            0.841948
          21685.0000            0.841771
          21690.0000            0.841880
          21695.0000            0.841708
          21700.0000            0.841854
          21705.0000            0.841720
          21710.0000            0.841546
          21715.0000            0.841512
          21720.0000            0.841262
          21725.0000            0.840994
          21730.0000            0.840799
          21735.0000            0.840776
          21740.0000            0.840408
          21745.0000            0.840020
          21750.0000            0.839623
          21755.0000            0.839326
          21760.0000            0.838786
          21765.0000            0.838611
          21770.0000            0.837850
          21775.0000            0.837519
          21780.0000            0.837140
          21785.0000            0.836395
          21790.0000            0.835880
          21795.0000            0.835268
          21800.0000            0.834727
          21805.0000            0.834183
          21810.0000            0.833193
          21815.0000            0.832690
          21820.0000            0.832549
          21825.0000            0.831431
          21830.0000            0.830627
          21835.0000            0.830000
          21840.0000            0.829544
          21845.0000            0.828674
          21850.0000            0.828036
          21855.0000            0.827022
          21860.0000            0.826411
          21865.0000            0.825921
          21870.0000            0.825142
          21875.0000            0.823990
          21880.0000            0.823689
          21885.0000            0.823263
          21890.0000            0.822445
          21895.0000            0.821660
          21900.0000            0.820720
          21905.0000            0.820452
          21910.0000            0.819675
          21915.0000            0.818901
          21920.0000            0.818086
          21925.0000            0.817539
          21930.0000            0.816862
          21935.0000            0.816569
          21940.0000            0.815771
          21945.0000            0.814735
          21950.0000            0.814259
          21955.0000            0.813782
          21960.0000            0.813090
          21965.0000            0.812288
          21970.0000            0.811645
          21975.0000            0.810959
          21980.0000            0.810196
          21985.0000            0.809507
          21990.0000            0.808716
          21995.0000            0.808319
