#         Lambda    Transmission
           7948.0000            0.092056
           7954.0000            0.090780
           7960.0000            0.090062
           7966.0000            0.089208
           7972.0000            0.088287
           7978.0000            0.086749
           7984.1001            0.085832
           7990.1001            0.084921
           7996.1001            0.083463
           8002.1001            0.082133
           8008.1001            0.081397
           8014.1001            0.079709
           8020.1001            0.078912
           8026.1001            0.078186
           8032.1001            0.076853
           8038.1001            0.075391
           8044.1001            0.074743
           8050.1001            0.073761
           8056.1001            0.072783
           8062.1001            0.071875
           8068.1001            0.070838
           8074.2002            0.069935
           8080.2002            0.068706
           8086.2002            0.067814
           8092.2002            0.066991
           8098.2002            0.066039
           8104.2002            0.065026
           8110.2002            0.063754
           8116.2002            0.063011
           8122.2002            0.062337
           8128.2002            0.061404
           8134.2002            0.060475
           8140.2002            0.059680
           8146.2002            0.058887
           8152.2002            0.058227
           8158.2002            0.057377
           8164.2002            0.056529
           8170.2998            0.056004
           8176.2998            0.054843
           8182.2998            0.053943
           8188.2998            0.053555
           8194.2998            0.052661
           8200.2998            0.051644
           8206.2998            0.051137
           8212.2998            0.050568
           8218.2998            0.049123
           8224.2998            0.048936
           8230.2998            0.048438
           8236.2998            0.047692
           8242.2998            0.046888
           8248.2998            0.046521
           8254.2998            0.045598
           8260.4004            0.044555
           8266.4004            0.044379
           8272.4004            0.043590
           8278.4004            0.043111
           8284.4004            0.042450
           8290.4004            0.041732
           8296.4004            0.041077
           8302.4004            0.040607
           8308.4004            0.040199
           8314.4004            0.039431
           8320.4004            0.038727
           8326.4004            0.038265
           8332.4004            0.037686
           8338.4004            0.037229
           8344.4004            0.036298
           8350.5000            0.035904
           8356.5000            0.035630
           8362.5000            0.034887
           8368.5000            0.034499
           8374.5000            0.033878
           8380.5000            0.033378
           8386.5000            0.032879
           8392.5000            0.032499
           8398.5000            0.032005
           8404.5000            0.031802
           8410.5000            0.031080
           8416.5000            0.030592
           8422.5000            0.029935
           8428.5000            0.029337
           8434.5000            0.028629
           8440.5996            0.028377
           8446.5996            0.027958
           8452.5996            0.027767
           8458.5996            0.027069
           8464.5996            0.026543
           8470.5996            0.026075
           8476.5996            0.025834
           8482.5996            0.025705
           8488.5996            0.025465
           8494.5996            0.024894
           8500.5996            0.024269
           8506.5996            0.023858
           8512.5996            0.023779
           8518.5996            0.023153
